Video ID,Title,No of Views,No of Likes,No of Comments
3G6J-ITWekA,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),6532186,27550,767
nxjOFZqtLJc,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,2689428,26948,640
6pHZmBin4Xc,Toruk Macto - AVATAR (4k Movie Clip),4760698,33508,740
d9MyW72ELq0,Avatar: The Way of Water | Official Trailer,59229078,1040767,42700
gGw36otjMUw,AVATAR 2 In English ( Full Movie),311138,1150,16
fbgbKYeVfmU,AVATAR 2 : Making of Kissing Scene of Avatar Movie | Full Video in Details,233770,1361,72
L2d3SocB7as,Avatar: The Way of Water (2022) - Neteyam death,456036,0,529
WDFr1O_GeAQ,Avatar (2009) - Best Scenes,2746500,20196,638
RNj2cH5yjNA,AVATAR Full Movie 2024: Pandora World | Superhero FXL Action Movies 2024 in English (Game Movie),10534042,64630,1063
ofvrOdrO9gY,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),2066020,24418,1113
Mw192fc8LsQ,Lo'ak & Tsireya - The Way of Water,7002649,32767,329
V67Ytgs6KJo,Avatar: First Movie RECAP,642599,10781,327
sV91xFKGHt8,[4K60FPS] AVATAR: 2 War Action Scene Final Battle - The Way of Water: Hollywood Movie Review - IMAX,3524530,17342,178
Cimy6T1nczw,Avatar Scenes Without CGI,16494933,121475,1612
a8Gx8wiNbs8,Avatar: The Way of Water | Official Teaser Trailer,28302954,681668,28937
TgT8b62FJRI,Jake Meets Neytiri - AVATAR (4k Movie Clip),462115,5245,205
Ehf6iESkLMk,Avatar 2: The Way Of Water - All Clips From The Movie (2022),2918784,14014,176
6BiKGZMCLf0,8K HDR | Jake's First Flight - Avatar | Dolby 5.1,1282533,5097,63
bDHD1ueL4a4,The Weeknd - Nothing Is Lost (You Give Me Strength) (Official Lyric Video),30949359,657116,9732
RGx8rYbRVR4,Why People Hate Avatar: A Lesson In Lazy Commentary,623969,33873,5198
o5j95Kxddy4,Who'll Lead the Fire Na'vi in Avatar 3? #shorts,391774,14016,170
QohBlL3WurE,Training with the Ikran - AVATAR (4k Movie Clip),344025,4307,93
YXtWPVFk5TQ,Avatar 3 Concept  Trailer | James Cameron  | 20th Century Studios | Avatar 3 Trailer,4150268,43997,1563
Mvt1OWNk_Sg,The Final Battle (Part 1) - AVATAR (4k Movie Clip),903202,8250,347
ZDUzhQtbYV4,James Cameron Tells Us When We Can Expect ‘Avatar 3’,827576,43179,472
-pDP5K-xW2Y,Jake vs Colonel Quaritch - AVATAR (4k Movie Clip),1376760,10867,591
jbncrh_3NfM,The Final Battle (Part 3) - AVATAR (4k Movie Clip),1293247,9086,338
oFErWcXJLdw,TRAINING TO BE IN THE NEXT AVATAR MOVIE,3131084,53409,1762
hYWTPmmIdFA,When AVATAR 3 is coming out & the NOTES Executives gave James Cameron for ALL AVATAR SEQUELS,231801,12926,322
cN0kUKNBfxE,Avatar 2009 - The Final Battle - Best Fight Scenes FULL HD,3400783,28680,661
5A6anrwecHM,Jake tames his Ikran - AVATAR (4k Movie Clip),748525,5377,130
vs_HaJ4HnBU,the first scene is sadly deleted from Avatar 2 😩 #avatarthewayofwater #jakesully #neteyam #neytiri,2236659,104457,379
f5Zx8iPek5I,Avatar 3 Will Introduce The Dark Side🔥 Of Na'vi…!?😮,8131274,366304,4051
alpkVUKirHI,AVATAR 2 MOVIE CAST #shorts #avatar2,3529908,109020,101
KDqaLSK_tlI,AVATAR: Characters Real Life Height’s,2793450,82876,1024
4xVfAWpjGgo,"Behind the scenes of Avatar, Zoe Saldana and Sam Worthington  #avatar #samworthington #zoesa#shorts",1900077,65448,150
PLtgIILX7E8,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),63679736,279364,2152
__QTN4cJfG8,This scene🤍 #avatar #avatar2 #avatarthewayofwater #loak #tsireya #kiri #tuktirey #neteyam #aonung,2083403,133626,576
9dFL9KyuqT8,Zoe Saldaña Teases What’s Next For Jake and Neytiri in ‘Avatar 3’ And Beyond,52036,4059,35
5Ee0Il7xgh8,Avatar vs Avatar 2 movie box office collection comparison।।,1063425,0,148
pdVJMkMxDJM,Avatar 2's next-level mo-cap #avatar #avatarthewayofwater #behindthescenes #shorts,3506077,140589,331
3y8a_TFL_KQ,AVATAR Full Movie 2024: The Way of Na'vi | Final Battle of Pandora | FullHDvideos4me (Game Movie),2969613,11397,119
mRrKdgpZ6kE,AGAINST JAKE..!??😲😲 | AVATAR 3 #shorts #avatar,3678921,0,2300
2VRTlTVGk0k,avatar edit #shorts,2072245,163557,511
9gDvRzfuWiE,Behind the scenes Avatar / Detrás de camáras de AVATAR 🤩,43219075,1765173,4775
Aj_eAkEZiLM,Behind the scenes of avatar avatar movie shooting scenes avatarpart-2 behind scenes#elonmusk#tesla##,187208,6413,17
SCAiHCvNKhM,Did You Notice This in AVATAR? #shorts,2455625,188785,676
o-DYf5nxdAk,Avatar 2 Full Movie Cast All Actor Actress | ATF |,8105894,209838,210
i12SONAAuqk,AVATAR: Unleashing the Ultimate Action Spectacle | Best Hollywood Movie Scenes Ever! 4K,1185548,4681,36
